Permission,PermissionType
ApprovalRequest.ReadWrite.PriviligedAccess,Delegated
AuditLog.Read.All,Delegated
DelegatedPermissionGrant.ReadWrite.All,Application
DelegatedPermissionGrant.ReadWrite.All,Delegated
Domain.Read.All,Application
PrivilegedAccess.Read.AzureAD,Application
PrivilegedAccess.Read.AzureAD,Delegated
PrivilegedAccess.ReadWrite.AzureAD,Application
PrivilegedAccess.ReadWrite.AzureAD,Delegated
PrivilegedAccess.ReadWrite.AzureADGroup,Application
PrivilegedAccess.ReadWrite.AzureADGroup,Delegated
PrivilegedAccess.ReadWrite.AzureResources,Application
PrivilegedAccess.ReadWrite.AzureResources,Delegated
RoleManagement.Read.All,Application
RoleManagement.Read.Directory,Application
RoleManagement.Read.Directory,Delegated
RoleManagement.ReadWrite.Directory,Application
RoleManagement.ReadWrite.Directory,Delegated
TrustFrameworkKeySet.Read.All,Application
TrustFrameworkKeySet.Read.All,Delegated
TrustFrameworkKeySet.ReadWrite.All,Application
TrustFrameworkKeySet.ReadWrite.All,Delegated
IdentityRiskEvent.Read.All,Application
IdentityRiskEvent.Read.All,Delegated
IdentityRiskEvent.ReadWrite.All,Application
IdentityRiskEvent.ReadWrite.All,Delegated
IdentityRiskyUser.Read.All,Application
IdentityRiskyUser.Read.All,Delegated
IdentityRiskyUser.ReadWrite.All,Application
IdentityRiskyUser.ReadWrite.All,Delegated
SecurityActions.Read.All,Application
SecurityActions.Read.All,Delegated
SecurityActions.ReadWrite.All,Application
SecurityActions.ReadWrite.All,Delegated
SecurityEvents.Read.All,Application
SecurityEvents.ReadWrite.All,Application
SecurityEvents.ReadWrite.All,Delegated
ThreatAssessment.Read.All,Application
User.Invite.All,Application
User.Invite.All,Delegated
EntitlementManagement.Read.All,Application
EntitlementManagement.Read.All,Delegated
EntitlementManagement.ReadWrite.All,Application
EntitlementManagement.ReadWrite.All,Delegated
Directory.AccessAsUser.All,Delegated
Directory.ReadWrite.All,Application
Directory.ReadWrite.All,Delegated
Domain.ReadWrite.All,Application
Domain.ReadWrite.All,Delegated
IdentityProvider.ReadWrite.All,Application
IdentityProvider.ReadWrite.All,Delegated
PrivilegedAccess.Read.AzureADGroup,Application
PrivilegedAccess.Read.AzureADGroup,Delegated
PrivilegedAccess.Read.AzureResources,Application
PrivilegedAccess.Read.AzureResources,Delegated
